classification,text
Sexuality,"Celestial Sex, hosted by Chris Duce and produced by Colin Hatch, is an interview series about love and sex through the lens of Mormon upbringing. Our conversations dive into the confusing nature of growing up in Mormonism where sexuality is taught as something that's beautiful and sacred, but can only be explored after you're married- usually very quickly in between the temple sealing and the reception in the back of an '88 Mercury Tracer. Recorded in Los Angeles, we speak with post-mormons, ex-mormons, jacked-mormons, and active mormons alike about their parents' timid explanations of where babies come from, awkward bishop interviews that mostly focus on masturbation, first sexual experiences, current outlook on sex, and more."
Philosophy,Not Found
Self-Help,"Spirit, Purpose & Energy is a show filled with Law of Attraction, Astrology, Feng Shui, Numerology, Meditation, Intuition and everything under a spiritual theme. From weight loss to relationships, this show will help you live a happy life filled with purpose, spirit, energy and love."
Sexuality,"Dr. Drew Pinsky, board certified internist and addiction medicine specialist, takes listener calls and talks to experts on a variety of topics relating to health, relationships, sex and drug addiction."
Christianity,"""For the love"" of...People. Home. Stories. Shoes. Family. Jesus. Community. TV. Travel. Food. Culture. The hilarious best-selling author and star of HGTV’s “My Big Family Renovation” invites you to drop by and catch up with her friends as they laugh and chat about all the things we love."
Sports & Recreation,"Mike Greenberg and Jalen Rose will be combining their unique personalities for Get Up, weekdays at 7 a.m. ET on ESPN. Get Up, get sports, get going."
Philosophy,"Interviews with leaders, elders and teachers from the yoga and wider wisdom community on eastern philosophies, consciousness studies, social justice, and the human spiritual condition."
History,"The Cold War, Prohibition, the Gold Rush, the Space Race. Every part of your life -the words you speak, the ideas you share- can be traced to our history, but how well do you really know the stories that made America? We’ll take you to the events, the times and the people that shaped our nation. And we’ll show you how our history affected them, their families and affects you today. Hosted by Lindsay Graham (not the Senator). From Wondery, the network behind Tides Of History, Fall Of Rome and Dirty John."
Language Courses,Learn advanced English vocabulary for business.
Design,"Learn to draw and digital painting online video tutorials.  Drawing realistic, portrait, figure, comics, characters, creatures, and Manga online tutorials from professional concept artist Xia Taptara. TheArtClasses.com"
Video Games,"PlayStation 3, Wii, Xbox 360, Nintendo DS, PSP, and PC news, reviews, interviews, discussions and more."
Business News,"The I Teach Blogging podcast is meant to help you on your blogging journey. This podcast in includes tips ranging from getting started with your first blog to WordPress and content upgrades. In this podcast Renee’ Groskreutz shares tips on Social Media, SEO (Search Engine Optimization), her affiliate marketing journey and everything in between. If it involves the digital life, she is going to talk about it."
Fitness & Nutrition,"Starting Strength Online Coaching owner and Starting Strength Coach Matt Reynolds with his sidekick Starting Strength Coach Scott Hambrick discuss all things strength. Follow the podcast @barbell_logic on instagram and join the Facebook group at https://www.facebook.com/barbelllogicpodcast/. Contact Matt at www.startingstrengthonlinecoaching.com @reynoldsstrong on IG, Twitter and Facebook. Contact Scott at www.startingstrengthonlinecoaching.com @scott_silverstrength on IG."
Self-Help,"The She's Beauty And The Beast podcast is a series where Tracy G. shares her (rough and resplendent) life experiences, habits and zany theories with the hopes that they'll translate into emotional empowerment for dope, millennial women. Also expect to hear from brilliant guests about topics ranging from spirituality, sanity and sexuality that affect our best self for better or for worse. If you're having an affair with both Drake and Deepak, this podcast is for you."
Society & Culture,"Bullseye from NPR is your curated guide to culture. Jesse Thorn hosts in-depth interviews with brilliant creators, culture picks from our favorite critics and irreverent original comedy. Bullseye has been featured in Time, The New York Times, GQ and McSweeney's, which called it ""the kind of show people listen to in a more perfect world."" (Formerly known as The Sound of Young America.)"
Business News,"Our GTD podcasts are here to support you at every stage of your GTD practice. You will hear interviews with people from all walks of life about their journey with GTD, from beginners to those who have been at it for years. The podcasts include personal and professional stories, as well as practical tips about GTD systems for desktop and mobile, using apps and paper. Start listening now and you'll be well on your way to stress-free productivity."
Training,The Tiny House Chat podcast is all about tiny houses and tiny living.  Your hosts Ryan Mitchell and Macy Miller talk about all things tiny.
Aviation,"Capturing stories of helicopter pilots and crew from around the world. Find out about different helicopter career paths, pick up some tips and learn more about what life as helicopter aircrew has to offer."
Business News,CFA Institute Take 15 Series: 10-15 minute interviews with leading practitioners on timely topics in market and credit risk as well as ethics.  This is the audio only version of the podcast.
Food,"Our top chefs, as you’ve never heard them before. Author Andrew Friedman, one of the nation's chief chroniclers of professional kitchen life, interviews a diverse cross-section of the best and biggest names in the business, bringing his personal relationships and industry knowledge to bear in coaxing personal and professional revelations from his guests."
